# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Galaxies within our survey boundaries without a measured redshift. Please observe them and let us know! Thanks!
#
#ID               RAdeg     DECdeg      l         b       k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt  e_bv r_iso r_ext  b/a  flgs  type  ts
01133859+6847579  18.41086  68.79941 124.94786   6.01476 11.638 11.758 12.477 11.205 11.199 11.966 0.098 0.080 0.075 0.116 0.094 0.099 0.982 1.140 1.550 0.780 0133 98    NN
03460623+4621443  56.52602  46.36222 151.59294  -6.56170 11.638 11.834 12.553 11.500 11.646 12.361 0.058 0.042 0.037 0.057 0.050 0.041 0.426 1.190 1.424 0.420 0000 98    NN
03574513+4155049  59.43805  41.91808 156.07188  -8.65982 11.639 12.166 13.044 11.148 12.010 13.037 0.065 0.065 0.074 0.079 0.129 0.182 0.754 1.182 1.658 0.400 0111 98    NN
15232292-5037274 230.84547 -50.62431 326.01944   5.30907 11.639 11.919 12.658 11.573 11.852 12.570 0.083 0.072 0.082 0.086 0.084 0.100 0.435 1.207 1.433 0.340 0333 98    NN
16391999-6006533 249.83322 -60.11495 327.94174  -8.83912 11.639 12.037 12.668 11.605 11.901 12.575 0.086 0.076 0.065 0.094 0.087 0.081 0.290 1.117 1.374 0.660 0222 98    NN
19335293+0052509 293.47058   0.88076  38.60540  -9.02430 11.639 11.862 12.452 11.570 11.661 12.242 0.098 0.073 0.062 0.102 0.075 0.066 0.429 1.173 1.384 0.760 0222 98    NN
22431140+3729111 340.79758  37.48643  96.52446 -18.72268 11.639 11.977 12.666 11.592 11.776 12.441 0.086 0.053 0.044 0.091 0.055 0.047 0.167 1.243 1.438 0.580 0000 98    NN
01515799+7126330  27.99143  71.44251 127.75890   9.14039 11.640 11.945 12.665 11.461 11.607 12.547 0.088 0.074 0.062 0.090 0.074 0.082 0.581 1.090 1.382 0.720 0334 98    NN
07291326-3835021 112.30536 -38.58394 251.44061  -9.79965 11.640 11.895 12.552 11.517 11.572 12.063 0.078 0.050 0.041 0.087 0.052 0.039 0.406 1.086 1.425 0.540 0313 98    NN
07371916-5244306 114.32974 -52.74189 265.07217 -14.81971 11.640 11.926 12.619 11.588 11.641 12.446 0.072 0.045 0.039 0.084 0.044 0.044 0.213 1.121 1.373 0.720 0000 98    NN
07525974-4137224 118.24894 -41.62286 256.33401  -7.25699 11.640 11.927 12.540 11.545 11.883 12.443 0.092 0.054 0.050 0.093 0.065 0.061 0.447 1.253 1.473 0.400 0333 98    NN
16125890-6206320 243.24559 -62.10895 324.26727  -7.90665 11.640 11.902 12.486 11.523 11.719 12.226 0.077 0.064 0.053 0.076 0.067 0.055 0.176 1.134 1.385 0.740 0444 98    NN
19510442+4946595 297.76840  49.78318  83.37399  11.55727 11.641 12.033 12.738 11.427 11.940 12.539 0.089 0.052 0.049 0.083 0.062 0.056 0.209 1.342 1.571 0.560 0000 98    NN
19582858+0215463 299.61911   2.26299  42.80526 -13.79373 11.641 11.894 12.560 11.494 11.745 12.405 0.067 0.049 0.038 0.069 0.056 0.046 0.174 1.049 1.362 0.800 0111 98    NN
20262334-1109469 306.59720 -11.16300  33.42831 -26.08883 11.641 11.927 12.674 11.477 11.807 12.520 0.075 0.053 0.039 0.072 0.059 0.045 0.052 1.117 1.371 0.720 0000 98    NN
05293867+2032099  82.41116  20.53607 185.19527  -7.53954 11.642 11.930 12.715 11.534 11.843 12.619 0.060 0.039 0.041 0.061 0.045 0.065 0.447 1.155 1.401 0.440 0333 98    NN
03174449+1039306  49.43541  10.65845 171.08398 -38.17410 11.643 11.782 12.528 11.205 11.718 12.330 0.057 0.048 0.040 0.073 0.095 0.077 0.622 1.146 1.623 0.660 0333 98    NN
05553695+4311405  88.90388  43.19464 168.67697   8.95360 11.643 11.795 12.489 11.568 11.684 12.426 0.044 0.027 0.024 0.044 0.029 0.029 0.255 1.140 1.391 0.420 0000 98    NN
04480181+1147280  72.00752  11.79110 186.88310 -20.70743 11.644 11.925 12.547 11.173 11.855 11.969 0.059 0.050 0.037 0.073 0.100 0.049 0.505 1.045 1.521 0.900 0111 98    NN
11471048-3405253 176.79370 -34.09043 288.03818  26.91589 11.644 12.012 12.710 11.417 11.959 12.643 0.062 0.041 0.039 0.067 0.063 0.063 0.086 1.210 1.579 0.400 0333 98    NN
11531022-5537457 178.29272 -55.62942 294.71896   6.31045 11.644 11.955 12.595 11.442 11.795 12.462 0.092 0.065 0.060 0.095 0.079 0.078 0.377 1.124 1.446 0.580 0000 98    NN
13380725-4221459 204.53026 -42.36277 312.06570  19.67953 11.644 11.982 12.763 11.368 11.656 12.402 0.063 0.050 0.044 0.071 0.061 0.056 0.102 1.124 1.507 0.640 0333 98    NN
14441572-5303374 221.06549 -53.06047 319.53152   6.13616 11.644 11.872 12.631 11.286 11.467 12.126 0.125 0.110 0.108 0.128 0.125 0.116 0.648 1.297 1.625 0.680 0133 98    NN
03412887+1432116  55.37022  14.53661 172.93697 -31.37258 11.645 11.909 12.590 11.449 11.702 12.419 0.091 0.050 0.046 0.089 0.054 0.054 0.400 1.167 1.414 0.820 0000 98    NN
15105559-2714190 227.73158 -27.23861 337.42038  26.13585 11.645 11.950 12.645 11.590 11.752 12.443 0.062 0.039 0.036 0.066 0.041 0.040 0.214 1.045 1.324 0.800 0000 98    NN
15271837-4952121 231.82649 -49.87001 326.96460   5.58692 11.645 11.883 12.705 11.513 11.804 12.694 0.090 0.075 0.090 0.091 0.089 0.120 0.530 1.248 1.470 0.340 0444 98    NN
05260299+4701096  81.51251  47.01932 162.65312   6.47247 11.646 11.822 12.610 11.483 11.626 12.497 0.064 0.044 0.045 0.066 0.049 0.058 0.670 1.053 1.328 0.840 0333 98    NN
07150821+0548144 108.78424   5.80407 210.43369   7.90372 11.646 11.888 12.627 11.480 11.619 12.479 0.048 0.040 0.031 0.048 0.041 0.038 0.125 1.072 1.367 0.960 0333 98    NN
14144947-4027120 213.70602 -40.45344 319.64731  19.69621 11.646 11.978 12.621 11.354 11.765 12.235 0.078 0.053 0.041 0.092 0.074 0.052 0.083 1.107 1.504 0.880 0000 98    NN
17285465+2549020 262.22763  25.81733  49.01910  28.74298 11.646 12.010 12.685 11.449 11.783 12.416 0.083 0.046 0.044 0.080 0.050 0.047 0.066 1.215 1.495 0.740 0000 98    NN
03475261+4210286  56.96922  42.17460 154.48038  -9.63857 11.647 11.873 12.590 11.354 11.648 12.442 0.066 0.047 0.042 0.069 0.058 0.059 0.399 1.176 1.519 0.660 0000 98    NN
04074999+4338440  61.95824  43.64561 156.30568  -6.13975 11.647 11.954 12.615 11.484 11.787 12.387 0.061 0.053 0.045 0.061 0.061 0.050 0.451 1.107 1.372 0.760 0000 98    NN
04551645+2743044  73.81855  27.71795 174.69250  -9.80910 11.647 11.859 12.552 11.473 11.735 12.351 0.060 0.052 0.047 0.061 0.062 0.056 0.843 1.097 1.357 0.760 0000 98    NN
05262746+2403238  81.61437  24.05648 181.81898  -6.23502 11.647 11.914 12.595 11.463 11.650 12.229 0.068 0.062 0.052 0.069 0.067 0.055 0.931 1.143 1.415 0.620 0111 98    NN
15225952-6341103 230.74806 -63.68626 318.80661  -5.58814 11.647 12.014 12.816 11.559 11.810 12.755 0.104 0.089 0.108 0.107 0.095 0.142 0.573 1.233 1.458 0.380 0333 98    NN
15452241-4328080 236.34340 -43.46901 333.29834   8.91386 11.647 11.908 12.663 11.386 11.712 12.328 0.083 0.063 0.058 0.092 0.081 0.071 0.258 1.086 1.462 0.680 0333 98    NN
19190956-0258564 289.78983  -2.98257  33.43108  -7.52547 11.647 11.956 12.627 11.459 11.878 12.627 0.082 0.067 0.066 0.085 0.089 0.049 0.641 1.121 1.448 0.460 0333 98    NN
23074944-1236479 346.95609 -12.61332  58.71432 -61.74195 11.647 12.003 12.686 11.505 11.683 12.452 0.061 0.044 0.030 0.059 0.046 0.032 0.033 1.114 1.375 0.780 0000 98    NN
13225226-5244358 200.71762 -52.74336 307.75061   9.83406 11.648 11.825 12.416 11.172 11.620 11.866 0.143 0.083 0.071 0.142 0.116 0.076 0.311 1.342 1.670 0.600 0222 98    NN
05182902+5040578  79.62098  50.68279 158.89143   7.48568 11.649 11.868 12.661 11.437 11.716 12.368 0.066 0.043 0.042 0.068 0.052 0.049 0.406 1.097 1.405 0.860 0040 98    NN
06411710+2051111 100.32122  20.85306 193.15517   7.20883 11.649 11.924 12.649 11.523 11.761 12.368 0.049 0.035 0.033 0.050 0.038 0.034 0.202 1.029 1.315 0.800 0133 98    NN
18322780+0727585 278.11581   7.46627  37.46014   7.59848 11.649 11.980 12.667 11.401 11.489 12.240 0.086 0.078 0.068 0.096 0.079 0.078 0.371 1.072 1.445 0.820 0333 98    NN
02594211+3602171  44.92729  36.03589 150.11125 -19.97473 11.650 12.051 12.748 11.611 12.023 12.728 0.049 0.041 0.030 0.179 0.162 0.099 0.245 1.188 1.399 0.520 0111 98    NN
15090957-4640181 227.28984 -46.67170 326.12537   9.90460 11.650 12.018 12.633 11.490 11.878 12.432 0.079 0.072 0.059 0.079 0.084 0.068 0.320 1.100 1.374 0.900 0222 98    NN
17061473-2606112 256.56137 -26.10306 357.49072   8.82742 11.650 11.748 12.263 11.650 11.748 12.263 0.124 0.095 0.084 0.073 0.061 0.057 0.389 1.250 1.251 0.300 0222 98    NN
22331051+5148557 338.29376  51.81548 102.30286  -5.43113 11.650 11.976 12.690 11.579 11.732 12.566 0.063 0.044 0.039 0.066 0.045 0.047 0.274 0.987 1.278 0.660 0331 98    NN
05320580+2409568  83.02428  24.16574 182.43370  -5.09755 11.651 12.044 12.642 11.280 11.673 12.315 0.074 0.068 0.054 0.083 0.089 0.078 0.868 1.196 1.582 0.560 0133 98    NN
07552442-1115591 118.85180 -11.26638 230.42250   8.70741 11.651 12.132 12.797 11.195 12.010 12.315 0.084 0.064 0.047 0.115 0.137 0.076 0.120 1.173 1.649 0.620 0333 98    NN
08263965-2209370 126.66519 -22.16031 243.78409   9.24750 11.651 11.941 12.598 11.445 11.736 12.295 0.077 0.042 0.035 0.081 0.049 0.039 0.103 1.093 1.433 0.900 0313 98    NN
20411683+3006217 310.32019  30.10612  72.23338  -7.25693 11.651 11.831 12.571 11.611 11.334 12.098 0.059 0.045 0.041 0.094 0.057 0.053 0.488 0.982 1.459 0.780 0000 98    NN
04084243+1642539  62.17684  16.71498 176.26784 -25.11872 11.652 11.940 12.600 11.458 11.698 12.371 0.058 0.052 0.038 0.062 0.060 0.048 0.582 1.072 1.398 0.760 0000 98    NN
04191277+4302400  64.80328  43.04446 158.22685  -5.14654 11.652 11.841 12.516 11.454 11.589 12.356 0.064 0.058 0.049 0.064 0.061 0.060 0.912 1.130 1.382 0.660 0111 98    NN
04253042+1422472  66.37678  14.37984 181.09224 -23.53733 11.652 11.926 12.563 11.346 11.734 12.337 0.064 0.049 0.042 0.078 0.075 0.065 0.581 1.083 1.497 0.680 0000 98    NN
12482238-2148571 192.09323 -21.81584 301.98856  41.05026 11.652 11.944 12.684 11.222 11.752 12.597 0.088 0.063 0.042 0.121 0.121 0.093 0.067 1.161 1.633 0.940 0000 98    NN
13004902-5110204 195.20415 -51.17234 304.43277  11.67209 11.652 11.906 12.541 11.277 11.847 12.088 0.086 0.055 0.047 0.103 0.097 0.062 0.237 1.188 1.614 0.780 0111 98    NN
17093892-2625388 257.41214 -26.42740 357.67810   8.01941 11.652 11.811 12.412 11.485 11.498 11.973 0.097 0.081 0.087 0.104 0.084 0.085 0.545 1.013 1.347 0.820 0222 98    NN
17113131-2442038 257.88043 -24.70108 359.34619   8.67879 11.652 11.976 12.689 11.539 11.702 12.567 0.088 0.079 0.089 0.091 0.081 0.113 0.738 0.996 1.264 0.740 0333 98    NN
18335542+0457349 278.48102   4.95964  35.36802   6.14902 11.652 12.048 12.780 11.519 11.884 12.636 0.099 0.088 0.102 0.100 0.105 0.131 0.961 1.314 1.533 0.300 0222 98    NN
20114141-1403134 302.92261 -14.05379  28.89088 -24.01042 11.652 11.953 12.656 11.598 11.730 12.452 0.058 0.041 0.029 0.061 0.041 0.031 0.136 1.090 1.354 0.700 0333 98    NN
19482748+0931456 297.11459   9.52931  48.04123  -8.08461 11.653 11.909 12.507 11.560 11.807 12.256 0.080 0.063 0.049 0.081 0.071 0.055 0.270 1.176 1.413 0.480 0222 98    NN
20463465+5732107 311.64441  57.53624  94.49622   8.89936 11.653 11.926 12.602 11.446 11.531 12.231 0.068 0.076 0.061 0.069 0.074 0.064 0.778 1.111 1.387 0.840 0111 98    NN
05475107+4148253  86.96278  41.80696 169.17732   7.02285 11.654 12.009 12.717 11.468 11.851 12.542 0.061 0.065 0.047 0.061 0.077 0.057 0.404 1.140 1.431 0.600 0313 98    NN
13135137-5440580 198.46408 -54.68272 306.20071   8.04670 11.654 12.039 12.797 11.544 11.909 12.599 0.080 0.060 0.064 0.083 0.071 0.076 0.433 1.000 1.288 0.880 0333 98    NN
19444668+0604082 296.19449   6.06899  44.53522  -8.96951 11.654 11.804 12.579 11.475 11.554 12.385 0.091 0.065 0.056 0.093 0.067 0.066 0.230 1.097 1.397 0.740 0331 98    NN
19511006+4200149 297.79184  42.00412  76.49556   7.74270 11.654 11.925 12.498 11.530 11.611 12.054 0.051 0.031 0.028 0.051 0.031 0.031 0.295 1.104 1.377 0.380 0033 98    NN
04243873+2141535  66.16135  21.69831 174.92293 -19.00091 11.655 12.049 12.669 11.524 11.884 12.542 0.065 0.052 0.043 0.065 0.059 0.067 0.571 1.111 1.375 0.600 0000 98    NN
09002997-2224422 135.12502 -22.41169 248.75911  15.38957 11.655 12.126 12.769 11.655 12.104 12.769 0.086 0.054 0.046 0.110 0.067 0.083 0.251 1.588 1.772 0.100 0111 98    NN
13260556-4437492 201.52319 -44.63044 309.39670  17.80587 11.655 11.985 12.701 11.550 11.922 12.421 0.058 0.051 0.036 0.058 0.061 0.037 0.109 1.053 1.323 0.840 0000 98    NN
12024776-5156112 180.69893 -51.93645 295.34863  10.21766 11.656 11.914 12.586 11.591 11.519 12.175 0.067 0.050 0.038 0.094 0.057 0.047 0.153 1.093 1.512 0.620 0000 98    NN
20132279+5151502 303.34503  51.86392  87.01232   9.57349 11.656 12.042 12.886 11.580 11.883 12.733 0.057 0.048 0.043 0.060 0.069 0.076 0.211 1.312 1.561 0.200 0333 98    NN
20291553-0800056 307.31476  -8.00153  36.93266 -25.36122 11.656 12.091 12.745 11.360 11.809 12.591 0.101 0.081 0.055 0.096 0.090 0.071 0.049 1.356 1.658 0.540 0000 98    NN
04391521+2722436  69.81332  27.37878 172.68405 -12.78336 11.657 11.969 12.657 11.583 11.812 12.452 0.057 0.039 0.037 0.060 0.046 0.043 0.709 1.093 1.353 0.420 0333 98    NN
14064955-7317289 211.70660 -73.29128 308.36520 -11.21977 11.657 12.100 12.751 11.405 11.849 12.545 0.096 0.072 0.061 0.099 0.085 0.079 0.201 1.173 1.504 0.520 0000 98    NN
14551472-5258390 223.81133 -52.97747 321.05792   5.48130 11.657 11.907 12.643 11.520 11.842 12.534 0.076 0.066 0.071 0.081 0.085 0.093 0.648 1.013 1.338 0.860 0333 98    NN
03555515+4453334  58.97979  44.89259 153.86641  -6.61513 11.658 11.871 12.656 11.409 11.392 12.357 0.069 0.060 0.059 0.072 0.056 0.070 0.567 1.167 1.495 0.440 0000 98    NN
07531996-3824052 118.33326 -38.40136 253.56790  -5.57564 11.658 11.919 12.625 11.472 11.787 12.446 0.096 0.061 0.067 0.097 0.073 0.083 0.834 1.072 1.342 0.780 0333 98    NN
04461079+2828475  71.54495  28.47988 172.81624 -10.90287 11.659 11.857 12.552 11.310 11.798 12.484 0.056 0.050 0.042 0.074 0.096 0.087 0.701 1.097 1.561 0.740 0000 98    NN
05355039+1650332  83.96001  16.84265 189.13962  -8.26716 11.659 11.888 12.556 11.322 11.628 12.417 0.081 0.048 0.041 0.081 0.057 0.059 0.504 1.292 1.606 0.620 0000 98    NN
06480595+8733358 102.02499  87.55998 125.67197  27.06628 11.659 11.978 12.572 11.464 11.808 12.222 0.075 0.072 0.046 0.075 0.084 0.048 0.281 1.367 1.617 0.260 0000 98    NN
13095873-5151027 197.49477 -51.85079 305.84601  10.91603 11.659 11.918 12.544 11.576 11.764 12.360 0.082 0.067 0.049 0.088 0.075 0.057 0.312 1.064 1.332 0.900 0000 98    NN
14095123-7213579 212.46336 -72.23279 308.90445 -10.27639 11.659 11.953 12.652 11.306 11.702 12.326 0.121 0.081 0.074 0.114 0.094 0.086 0.260 1.358 1.655 0.400 0333 98    NN
20214272+1629319 305.42807  16.49231  58.33318 -11.42383 11.659 11.917 12.670 11.539 11.786 12.537 0.070 0.045 0.040 0.068 0.048 0.048 0.229 1.272 1.485 0.380 0333 98    NN
03333430-6233033  53.39266 -62.55095 277.50186 -45.76221 11.660 12.034 12.840 11.574 11.885 12.710 0.060 0.041 0.036 0.059 0.044 0.052 0.052 1.223 1.449 0.420 0000 98    NN
04422550+5523554  70.60633  55.39873 151.80965   6.06323 11.660 11.909 12.695 11.405 11.782 12.432 0.072 0.061 0.059 0.073 0.078 0.073 0.638 1.114 1.420 0.780 0000 98    NN
06063054+3148331  91.62732  31.80921 179.77350   5.33780 11.660 12.002 12.764 11.507 11.926 12.694 0.057 0.063 0.053 0.058 0.079 0.072 0.777 1.130 1.396 0.540 0333 98    NN
06085100+3148123  92.21264  31.80353 180.01778   5.77178 11.660 12.049 12.729 11.524 12.047 12.521 0.067 0.078 0.062 0.079 0.112 0.077 0.670 1.037 1.328 0.880 0333 98    NN
06465063-1919000 101.71095 -19.31664 229.78250  -9.65229 11.660 11.999 12.622 11.378 11.700 12.269 0.086 0.068 0.051 0.100 0.088 0.065 0.338 1.086 1.471 0.940 0313 98    NN
07113684-2207005 107.90343 -22.11684 234.89832  -5.69229 11.660 11.953 12.569 11.583 11.824 12.419 0.073 0.049 0.048 0.078 0.056 0.056 0.644 1.104 1.358 0.500 0000 98    NN
07151181-2454134 108.79918 -24.90381 237.76956  -6.22763 11.660 11.911 12.631 11.535 11.603 12.328 0.070 0.037 0.039 0.070 0.035 0.040 0.403 1.004 1.268 0.660 0333 98    NN
08180579-2006320 124.52414 -20.10887 240.93355   8.72906 11.660 11.978 12.703 11.125 11.898 12.675 0.091 0.066 0.049 0.113 0.139 0.117 0.093 1.130 1.607 0.980 0333 98    NN
07425147-3803353 115.71451 -38.05982 252.24272  -7.19233 11.661 11.842 12.460 11.595 11.501 12.101 0.080 0.047 0.042 0.087 0.044 0.041 0.572 1.025 1.303 0.580 0414 98    NN
07481984-1339438 117.08263 -13.66218 231.64590   6.01452 11.662 12.016 12.714 11.551 11.906 12.566 0.089 0.057 0.046 0.088 0.064 0.054 0.174 1.193 1.427 0.480 0333 98    NN
13410437-8631126 205.26736 -86.52011 303.74823 -23.72727 11.662 11.915 12.646 11.539 11.584 12.271 0.079 0.046 0.039 0.078 0.041 0.036 0.127 1.137 1.390 0.740 0333 98    NN
03052855+3347369  46.36906  33.79372 152.43045 -21.28879 11.663 11.978 12.707 11.589 11.878 12.574 0.061 0.048 0.039 0.062 0.054 0.045 0.302 1.267 1.484 0.300 0000 98    NN
04310732+2524104  67.78060  25.40293 173.01331 -15.45113 11.663 11.928 12.590 11.267 11.831 12.406 0.066 0.056 0.047 0.090 0.114 0.093 0.783 1.107 1.577 0.820 0000 98    NN
05592988+1015051  89.87451  10.25143 197.80481  -6.64010 11.663 11.969 12.727 11.568 11.686 12.449 0.081 0.059 0.055 0.084 0.058 0.059 0.408 1.104 1.357 0.720 0000 98    NN
10153148-4707470 153.88116 -47.12971 277.33762   7.84617 11.663 11.953 12.788 11.597 11.798 12.634 0.059 0.047 0.041 0.064 0.052 0.050 0.217 0.944 1.253 0.860 0000 98    NN
22301599+5156275 337.56659  51.94096 101.98003  -5.09360 11.663 11.951 12.648 11.485 11.755 12.493 0.057 0.052 0.051 0.059 0.058 0.064 0.254 1.100 1.414 0.580 0222 98    NN
22461635+3956070 341.56824  39.93531  98.33744 -16.88443 11.663 12.068 12.756 11.561 11.867 12.471 0.073 0.052 0.041 0.074 0.054 0.041 0.134 1.121 1.348 0.940 0133 98    NN
15575553-4129199 239.48145 -41.48893 336.38080   8.96329 11.664 12.021 12.640 11.554 11.934 12.513 0.063 0.063 0.058 0.063 0.074 0.069 0.578 0.968 1.208 0.820 0333 98    NN
09255606-4131083 141.48351 -41.51897 266.86185   6.52829 11.665 11.924 12.513 11.556 11.736 12.314 0.073 0.048 0.042 0.075 0.051 0.047 0.389 1.086 1.347 0.600 0333 98    NN
16361394-2802366 249.05818 -28.04354 351.72043  12.86215 11.665 11.833 12.493 11.603 11.741 12.352 0.058 0.041 0.036 0.061 0.046 0.041 0.636 1.093 1.334 0.440 0333 98    NN
17223655-5154458 260.65240 -51.91269 338.22537  -8.70771 11.665 12.042 12.720 11.400 11.856 12.536 0.097 0.093 0.078 0.104 0.122 0.108 0.253 1.097 1.450 0.820 0333 98    NN
06090684+3142403  92.27858  31.71126 180.12617   5.77713 11.666 11.892 12.647 11.471 11.609 12.498 0.060 0.062 0.051 0.066 0.071 0.072 0.632 1.053 1.410 0.680 0111 98    NN
07073281-4850057 106.88670 -48.83492 259.39716 -17.58555 11.666 12.025 12.721 11.521 11.635 12.477 0.080 0.059 0.046 0.094 0.063 0.059 0.098 1.140 1.484 0.780 0331 98    NN
08245150-5043481 126.21467 -50.73007 267.05396  -7.45139 11.666 12.054 12.703 11.158 11.995 12.301 0.095 0.069 0.065 0.094 0.120 0.088 0.861 1.149 1.530 0.840 0333 98    NN
08461508-2833565 131.56279 -28.56569 251.66533   9.05429 11.666 12.084 12.769 11.580 11.927 12.723 0.066 0.049 0.044 0.064 0.053 0.145 0.144 1.253 1.449 0.280 0333 98    NN
12412479-5726318 190.35323 -57.44229 301.57745   5.40310 11.666 11.908 12.610 11.607 11.859 12.548 0.075 0.057 0.058 0.079 0.066 0.072 0.525 1.004 1.237 0.780 0333 98    NN
05520403+4022167  88.01670  40.37133 170.82999   6.98826 11.667 11.928 12.706 11.486 11.705 12.580 0.058 0.057 0.044 0.058 0.061 0.055 0.386 1.146 1.424 0.700 0330 98    NN
08072009-4926113 121.83365 -49.43647 264.41083  -9.10404 11.667 11.986 12.666 11.553 11.634 12.317 0.068 0.050 0.044 0.070 0.046 0.044 0.262 1.041 1.317 0.800 0333 98    NN
18540355-2618056 283.51480 -26.30160   9.43713 -12.19084 11.667 11.957 12.684 11.446 11.791 12.603 0.071 0.053 0.050 0.074 0.065 0.071 0.323 1.114 1.453 0.680 0333 98    NN
11130045-4957591 168.25192 -49.96644 287.15668   9.86628 11.668 11.957 12.649 11.527 11.708 12.354 0.074 0.049 0.043 0.073 0.049 0.044 0.238 1.130 1.379 0.460 0331 98    NN
11151765-5355556 168.82347 -53.93211 288.97073   6.31300 11.668 11.868 12.596 11.624 11.619 12.337 0.061 0.040 0.036 0.066 0.040 0.039 0.249 1.017 1.321 0.580 0000 98    NN
12000255-7401080 180.01065 -74.01891 299.34970 -11.50566 11.668 12.136 12.800 11.147 12.012 12.677 0.100 0.075 0.070 0.136 0.171 0.166 0.283 1.173 1.650 0.580 0133 98    NN
15033814-2527486 225.90898 -25.46348 337.01489  28.52087 11.668 11.872 12.542 11.151 11.506 11.960 0.081 0.052 0.040 0.108 0.087 0.058 0.164 1.167 1.644 0.780 0333 98    NN
04475545+3148034  71.98103  31.80095 170.45346  -8.50526 11.669 11.906 12.636 11.435 11.715 12.336 0.067 0.054 0.064 0.069 0.065 0.076 0.866 1.124 1.417 0.700 0000 98    NN
20261182+0346470 306.54919   3.77981  47.73523 -19.07121 11.669 11.961 12.620 11.509 11.832 12.282 0.056 0.049 0.035 0.062 0.062 0.039 0.125 1.121 1.473 0.640 0000 98    NN
03383078+3150498  54.62822  31.84720 159.65511 -18.85998 11.670 11.791 12.516 11.612 11.411 12.220 0.061 0.048 0.042 0.085 0.055 0.057 0.957 0.982 1.384 0.920 0000 98    NN
21483139+4252217 327.13092  42.87273  90.90125  -8.34089 11.670 11.947 12.693 11.570 11.877 12.568 0.079 0.054 0.053 0.082 0.065 0.064 0.472 1.149 1.396 0.620 0333 98    NN
22274333-1714335 336.93063 -17.24272  41.93854 -55.43046 11.670 11.947 12.675 11.572 11.686 12.400 0.062 0.039 0.028 0.063 0.038 0.029 0.037 1.049 1.321 0.940 0000 98    NN
06581589-2050247 104.56623 -20.84027 232.35095  -7.90025 11.671 11.924 12.677 11.475 11.687 12.409 0.093 0.052 0.052 0.091 0.055 0.057 0.417 1.124 1.374 0.840 0000 98    NN
10482757-4903559 162.11494 -49.06561 283.10797   9.01446 11.671 12.072 12.803 11.327 11.816 12.616 0.094 0.089 0.070 0.102 0.120 0.107 0.338 1.182 1.552 0.980 0333 98    NN
22424217+0233101 340.67575   2.55283  71.55828 -47.06931 11.671 12.118 12.784 11.504 12.075 12.695 0.071 0.062 0.041 0.070 0.078 0.052 0.087 1.143 1.412 0.880 0000 98    NN
03384965+1332507  54.70686  13.54748 173.21954 -32.52802 11.672 12.054 12.718 11.522 11.973 12.603 0.081 0.045 0.045 0.080 0.054 0.055 0.446 1.196 1.428 0.700 0000 98    NN
04540672+2546178  73.52806  25.77171 176.09517 -11.20668 11.672 11.853 12.507 11.527 11.770 12.318 0.052 0.046 0.040 0.055 0.058 0.050 0.904 1.029 1.335 0.780 0000 98    NN
05194723+0758503  79.94684   7.98070 194.76234 -16.25013 11.672 12.038 13.334 11.375 11.750 13.063 0.063 0.059 0.086 0.065 0.072 0.121 0.813 1.246 1.567 0.440 0000 98    NN
07195974-5202140 109.99892 -52.03718 263.28284 -16.94533 11.672 12.075 12.786 11.490 11.843 12.658 0.085 0.057 0.050 0.086 0.063 0.065 0.189 1.114 1.403 0.880 0000 98    NN
03522387+3918229  58.09946  39.30642 157.00832 -11.30603 11.673 11.751 12.431 11.367 11.280 12.112 0.056 0.044 0.036 0.066 0.049 0.050 0.779 1.064 1.467 0.800 0000 98    NN
04295162+2324594  67.46518  23.41649 174.38399 -16.96644 11.673 11.944 12.644 11.603 11.858 12.550 0.059 0.040 0.037 0.065 0.049 0.049 0.850 1.025 1.307 0.540 0000 98    NN
05583384+4026458  89.64104  40.44603 171.37737   8.10220 11.673 12.011 12.695 11.258 11.697 12.351 0.076 0.054 0.045 0.102 0.091 0.078 0.380 1.124 1.582 0.860 0333 98    NN
19390542+0917593 294.77261   9.29981  46.70608  -6.17784 11.673 11.982 12.730 11.514 11.972 12.677 0.088 0.077 0.076 0.087 0.099 0.100 0.475 1.190 1.457 0.360 0333 98    NN
04315332+3511367  67.97210  35.19354 165.64648  -8.81190 11.674 12.050 12.883 11.501 11.736 12.569 0.053 0.037 0.037 0.057 0.042 0.064 0.471 1.033 1.367 0.680 0111 98    NN
05170487+5257522  79.27028  52.96452 156.86693   8.59697 11.674 11.882 12.569 11.620 11.609 12.218 0.050 0.034 0.030 0.075 0.046 0.041 0.464 1.013 1.468 0.780 0333 98    NN
06094652+0204057  92.44373   2.06819 206.28716  -8.29899 11.674 12.022 12.729 11.592 11.971 12.465 0.097 0.089 0.083 0.107 0.117 0.097 0.986 1.124 1.351 0.800 0000 98    NN
22393030+5107354 339.87619  51.12656 102.81805  -6.51907 11.674 11.842 12.595 11.466 11.601 12.345 0.061 0.055 0.042 0.062 0.059 0.049 0.230 1.117 1.417 0.800 0414 98    NN
15262362-4605161 231.59845 -46.08782 328.98325   8.79912 11.675 12.002 12.927 11.591 11.763 12.792 0.080 0.059 0.063 0.081 0.062 0.077 0.359 1.316 1.524 0.220 0411 98    NN
