# The 2MASS Redshift Survey
# Huchra et al., ApJS, in press
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.4, 2011 Dec 16
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": NED redshifts not used; preference given to measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald). Contents presented in Table A6 in paper.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ  ERR QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE
19361870+3748070|2MASX J19361870+3748070       |19h36m18.7s +37d48m07s|G     |  8542|    |    |2008ApJ...685.1320C|   8638|  60|D |20112MRS.McDo.0000H
19425998+4012114|2MASX J19425998+4012114       |19h43m00.0s +40d12m11s|G     |   334|    |    |2008ApJ...685.1320C|  10378|  27|D |20112MRS.McDo.0000H
19485051+5052580|2MASX J19485051+5052580       |19h48m50.5s +50d52m58s|G     |  8314|  50|    |1997ApJS..112..245N|   8256|  15|F |20112MRS.FLWO.0000H
19485956+5018471|UGC 11485                     |19h48m59.6s +50d18m47s|G     |  7651|  39|    |1999PASP..111..438F|   7770|  13|F |20112MRS.FLWO.0000H
19494875+5041459|UGC 11486                     |19h49m48.8s +50d41m46s|G     |  7923|  42|    |1999PASP..111..438F|   7846|  13|F |20112MRS.FLWO.0000H
19584227+5002125|UGC 11503                     |19h58m42.3s +50d02m13s|G     |  7366|  26|    |1999PASP..111..438F|   7238|  23|F |20112MRS.FLWO.0000H
19585474-5216234|IC 4917                       |19h58m54.8s -52d16m23s|G     | 14850| 100|    |1989ESOLV.C...0000L|  14421|  38|C |20112MRS.CTIO.0000H
20010330+4056462|2MASX J20010330+4056462       |20h01m03.3s +40d56m46s|G     | 20896|  34|    |2005AJ....130...47L|  20814|  49|F |20112MRS.FLWO.0000H
20122414+1917287|2MFGC 15380                   |20h12m24.2s +19d17m29s|G     |  9683| 300|    |1995ApJS..100...69F|   9310|  17|F |20112MRS.FLWO.0000H
20183136+6241283|VII Zw 931 NOTES01            |20h18m31.4s +62d41m28s|G     |  1404|  45|    |1999PASP..111..438F|   1392|  27|F |20112MRS.FLWO.0000H
20213032+5944132|CGCG 304-003                  |20h21m30.3s +59d44m13s|G     |  5527|  50|    |1997ApJS..112..245N|   7619|  15|F |20112MRS.FLWO.0000H
20215255+5731021|2MASX J20215255+5731021       |20h21m52.6s +57d31m02s|G     |  7605|  22|    |1995ApJS..100...69F|   7508|  15|F |20112MRS.FLWO.0000H
20222535+1013354|II Zw 081 NOTES01             |20h22m25.4s +10d13m36s|G     |  7778|    |    |1997ApJS..112..245N|   7778|  33|F |20112MRS.FLWO.0000H
20223101+1009004|CGCG 424-002                  |20h22m31.0s +10d09m00s|G     |  5423|  38|    |1999ApJS..121..287H|   5434|  29|F |20112MRS.FLWO.0000H
20230428+0932379|CGCG 399-005                  |20h23m04.3s +09d32m38s|G     |  7137|    |    |2005ApJS..160..149S|   7122|  21|F |20112MRS.FLWO.0000H
20253020+1034210|CGCG 424-005                  |20h25m30.2s +10d34m21s|G     |  7801|  31|    |1983ApJS...52...89H|   7779|  18|F |20112MRS.FLWO.0000H
20264264+1041400|CGCG 424-007                  |20h26m42.7s +10d41m40s|G     |  4443|  34|    |1999ApJS..121..287H|   4464|  17|F |20112MRS.FLWO.0000H
20273955+1045261|UGC 11564 NED02               |20h27m39.6s +10d45m26s|G     |  5340|  16|    |2006PrivC.U..D....W|   5298|  16|F |20112MRS.FLWO.0000H
20275744+6231575|2MASX J20275744+6231575       |20h27m57.5s +62d31m58s|G     | 11700|  37|    |1995ApJS..100...69F|  11646|  19|F |20112MRS.FLWO.0000H
20290949+1044383|UGC 11572                     |20h29m09.5s +10d44m38s|G     |  4554|  25|    |1999PASP..111..438F|   4595|  31|F |20112MRS.FLWO.0000H
20353480+5555368|2MASX J20353480+5555368       |20h35m34.8s +55d55m37s|G     |  7204|  16|    |2003A&A...412...57P|   7185|  19|F |20112MRS.FLWO.0000H
20361379+6344233|UGC 11603                     |20h36m13.8s +63d44m24s|G     |  5189|    |    |2005ApJS..160..149S|   5271|  16|F |20112MRS.FLWO.0000H
20383920-2507294|AM 2035-251 NED02             |20h38m39.2s -25d07m29s|G     |  5500| 500|   :|2009CBET.1877A...1T|   5970|  16|C |20112MRS.CTIO.0000H
20393405+1047320|CGCG 424-036                  |20h39m34.1s +10d47m32s|G     |  7565|  36|    |1996AJ....112.1803M|   7525|  18|F |20112MRS.FLWO.0000H
20515024-2513242|MCG -04-49-006                |20h51m50.2s -25d13m24s|G     | 12321|    |    |2007MNRAS.375..931M|  12197|  23|C |20112MRS.CTIO.0000H
20555082+7435331|2MFGC 15839                   |20h55m52.1s +74d35m34s|G     |  3868|   6|    |2003A&A...412...57P|   3867|  15|F |20112MRS.FLWO.0000H
20581497+0821299|CGCG 400-014                  |20h58m15.0s +08d21m30s|G     |  5463|    |    |2005ApJS..160..149S|   5492|  34|F |20112MRS.FLWO.0000H
21013347+0137323|CGCG 374-039                  |21h01m33.4s +01d37m32s|G     | 10280| 150|    |2004AJ....127.1336S|   9762|  21|F |20112MRS.FLWO.0000H
21063666-3806476|LCRS B210326.6-381852         |21h06m36.7s -38d06m48s|G     |  8994|    |PHOT|1999ApJS..123...41M|  11562|  27|C |20112MRS.CTIO.0000H
21065986+3942532|2MASX J21065986+3942532       |21h06m59.9s +39d42m53s|G     |   -60|    |    |2008ApJ...685.1320C|  13711|  27|F |20112MRS.FLWO.0000H
21115263+0219446|IC 1362                       |21h11m52.6s +02d19m44s|G     | 14990| 150|    |2004AJ....127.1336S|  14611|  24|F |20112MRS.FLWO.0000H
21132669+0231233|2MASX J21132669+0231233       |21h13m26.7s +02d31m23s|G     | 14568|  20|    |2004AJ....128.1558S|  14506|  27|F |20112MRS.FLWO.0000H
21140659+0227427|2MASX J21140659+0227427       |21h14m06.6s +02d27m43s|G     | 14097|  21|    |2004AJ....128.1558S|  14119|  39|F |20112MRS.FLWO.0000H
21181913+6048075|3C 430                        |21h18m19.1s +60d48m07s|G     | 16668|    |    |1992NED11.R......1N|  16652|  45|F |20112MRS.FLWO.0000H
21202343-1310162|MCG -02-54-005                |21h20m23.4s -13d10m17s|G     |  9008|  13|    |2005AJ....130.1037C|   8956|  30|F |20112MRS.FLWO.0000H
21224587+0330588|UGC 11736 NOTES02             |21h22m45.9s +03d30m59s|G     | 15918|  41|    |1995A&AS..110...19D|  15730|  43|F |20112MRS.FLWO.0000H
21290836+0247596|UGC 11750                     |21h29m08.4s +02d48m00s|G     | 12672|    |    |2005ApJS..160..149S|  12727|  34|F |20112MRS.FLWO.0000H
21334269-7406433|IC 5109                       |21h33m42.7s -74d06m43s|G     |  8913| 200|    |2006MNRAS.366..267F|   9155|  40|C |20112MRS.CTIO.0000H
21451923+4626408|2MASX J21451923+4626408       |21h45m19.2s +46d26m41s|G     |  5518|    |    |2008ApJ...685.1320C|   5567|  45|D |20112MRS.McDo.0000H
21460605+4508310|2MASX J21460605+4508310       |21h46m06.0s +45d08m31s|G     |  7591|  11|    |2003A&A...412...57P|   7599|  10|F |20112MRS.FLWO.0000H
21524832-7317382|ESO 048- G 012                |21h52m48.3s -73d17m38s|G     |  8499|    |    |2006A&A...457..405C|   8472|  65|C |20112MRS.CTIO.0000H
21570253+6626098|4C +66.24                     |21h57m02.6s +66d26m13s|G     | 17088|    |   ?|2001A&A...370..409L|  17518| 106|F |20112MRS.FLWO.0000H
21594215-1748019|2MASX J21594215-1748019       |21h59m42.2s -17d48m03s|G     | 10912|  89|    |20032dF...C...0000C|  10909|  37|C |20112MRS.CTIO.0000H
22064535+7502517|UGC 11918                     |22h06m45.3s +75d02m52s|G     |  4144|  16|    |2005A&A...435..459H|   4127|  27|F |20112MRS.FLWO.0000H
22150139-0503122|NGC 7239                      |22h15m01.4s -05d03m12s|G     |  7801|  22|    |2003AJ....126.2268W|   7774|  42|C |20112MRS.CTIO.0000H
22212903+2515430|MCG +04-52-009                |22h21m29.0s +25d15m43s|G     | 12545|  10|    |1991RC3.9.C...0000d|  12438|  28|F |20112MRS.FLWO.0000H
22251067+4243072|UGC 12032 NOTES01             |22h25m10.7s +42d43m08s|G     |  5576|    |    |2002IAUC.7784B...1C|   5651|  15|F |20112MRS.FLWO.0000H
22340003-2857004|2MASX J22340003-2857004       |22h34m00.0s -28d57m00s|G     |  8034|  64|    |20032dF...C...0000C|   8085|  39|C |20112MRS.CTIO.0000H
22403583+7251501|UGC 12154                     |22h40m35.9s +72d51m50s|G     |  1435|  20|    |2005A&A...435..459H|   4170|  45|F |20112MRS.FLWO.0000H
22415367+3455106|UGC 12157                     |22h41m53.7s +34d55m11s|G     |  6715|  30|    |1987Afz....26....5K|   6600|  28|F |20112MRS.FLWO.0000H
22423863+2930205|CGCG 495-017                  |22h42m38.6s +29d30m20s|G     |  7315|  10|    |1991RC3.9.C...0000d|   7227|  16|F |20112MRS.FLWO.0000H
22465014-6516256|IC 5247                       |22h46m50.1s -65d16m26s|G     |  3416|  29|    |2006MNRAS.366..645P|   3421|  33|C |20112MRS.CTIO.0000H
22484417+2735015|UGC 12193                     |22h48m44.2s +27d35m01s|G     |  9599|   2|    |2008AJ....135..588S|   9548|  22|F |20112MRS.FLWO.0000H
22512807+1137552|GIN 669                       |22h51m28.1s +11d37m55s|G     |  7572|  11|    |1999MNRAS.305..259W|   7553|  22|F |20112MRS.FLWO.0000H
22535622-1737281|2MASX J22535622-1737281       |22h53m56.2s -17d37m28s|G     | 19261|  70|    |1983MNRAS.202..125B|  20036|  56|C |20112MRS.CTIO.0000H
23025207+0841356|2MASX J23025207+0841356       |23h02m52.1s +08d41m35s|G     | 12591|    |    |2006ApJ...644..829K|  12391|  36|F |20112MRS.FLWO.0000H
23025652+0834475|UGC 12324                     |23h02m56.5s +08d34m48s|G     | 12183|    |    |2005ApJS..160..149S|  12176|  26|F |20112MRS.FLWO.0000H
23032330+4124516|MRK 0925                      |23h03m23.3s +41d24m52s|G     |  4827|  31|    |1999PASP..111..438F|   4803|  25|F |20112MRS.FLWO.0000H
23032718+1955570|CGCG 453-055                  |23h03m27.2s +19d55m57s|G     | 12130|  20|    |1993AJ....105.1271G|  11233|  36|F |20112MRS.FLWO.0000H
23040125+0315191|2MASX J23040125+0315191       |23h04m01.3s +03d15m19s|G     | 10793|    |    |2007A&A...470..557C|  10739|  25|F |20112MRS.FLWO.0000H
23182612+0657528|2MFGC 17495                   |23h18m26.1s +06d57m53s|G     | 12312|    |    |2005ApJS..160..149S|  12358|  16|F |20112MRS.FLWO.0000H
23222311+0329304|2MASX J23222311+0329304       |23h22m23.1s +03d29m31s|G     |  9211|  24|    |2004ApJ...607..202M|   9200|  26|F |20112MRS.FLWO.0000H
23233164+0303110|LSBC F821-02                  |23h23m31.6s +03d03m11s|G     | 16749|  30|    |2004ApJ...607..202M|  16698|  43|F |20112MRS.FLWO.0000H
23264828+4239125|B3 2324+423                   |23h26m48.2s +42d39m13s|G     | 20086|    |    |1996ApJ...461..127M|  20585|  29|F |20112MRS.FLWO.0000H
23274259+0845298|2MASX J23274259+0845298       |23h27m42.6s +08d45m30s|G     |  8814| 300|    |1998A&AS..127..521W|  10575|  25|F |20112MRS.FLWO.0000H
23283891+0934383|CGCG 406-116                  |23h28m38.9s +09d34m38s|G     | 12343|    |    |2005ApJS..160..149S|  12361|  26|F |20112MRS.FLWO.0000H
23292881+1031580|2MASX J23292881+1031580       |23h29m28.8s +10d31m58s|G     | 11992|    |   :|2007CBET..991A...1:|  12429|  31|F |20112MRS.FLWO.0000H
23303771+7122464|2MASX J23303771+7122464       |23h30m37.7s +71d22m46s|G     | 11092|    |    |2008A&A...482..113M|  11086|  21|F |20112MRS.FLWO.0000H
23310208+5527223|2MASX J23310208+5527223       |23h31m02.1s +55d27m22s|G     |  5111|  10|    |2003A&A...412...57P|   5053|  15|F |20112MRS.FLWO.0000H
23321034+0312286|2MASX J23321034+0312286       |23h32m10.4s +03d12m29s|G     |  9926|  25|    |2004ApJ...607..202M|   9888|  23|F |20112MRS.FLWO.0000H
23411145+7815059|CGCG 344-005                  |23h41m11.6s +78d15m07s|G     |  4355|  35|    |1981Afz....17....5K|   4316|  25|F |20112MRS.FLWO.0000H
23420728+7810489|CGCG 344-006                  |23h42m07.4s +78d10m49s|G     |  4042|  41|    |1981Afz....17....5K|   4055|  31|F |20112MRS.FLWO.0000H
23443040+0915499|CGCG 407-050                  |23h44m30.5s +09d15m48s|G     | 12298|  12|    |1999MNRAS.305..259W|  12258|  30|F |20112MRS.FLWO.0000H
23443782-2348358|ESO 537-IG 003 NED01          |23h44m37.8s -23d48m36s|G     | 14772|  83|    |1996MNRAS.283..367D|  14774|  27|F |20112MRS.FLWO.0000H
23521071+1128132|NGC 7774 NED01                |23h52m10.7s +11d28m13s|G     |  6430|  28|    |1995A&AS..110...19D|   6370|  21|F |20112MRS.FLWO.0000H
23535389+0758138|NGC 7782                      |23h53m53.9s +07d58m14s|G     |  5379|   7|    |1991RC3.9.C...0000d|   5373|  22|F |20112MRS.FLWO.0000H
23552838+3015086|CGCG 498-036                  |23h55m28.4s +30d15m09s|G     |  9294|  10|    |1991RC3.9.C...0000d|   9296|  26|F |20112MRS.FLWO.0000H
23553685-6044344|2MASX J23553685-6044344       |23h55m36.8s -60d44m34s|G     |  4535|  36|    |2007A&A...473..399P|   4586|  50|C |20112MRS.CTIO.0000H
23554260+1120355|2MASX J23554260+1120355       |23h55m42.6s +11d20m35s|G     | 22224|    |    |1999MNRAS.306..857C|  22144|  39|F |20112MRS.FLWO.0000H
23572798+4752129|V Zw 442 NOTES01              |23h57m27.9s +47d52m13s|G     | 12861|    |    |1971CGPG..C...0000Z|  13556|  33|F |20112MRS.FLWO.0000H
23580557-2945407|MCG -05-01-016                |23h58m05.6s -29d45m41s|G     |  8784| 123|    |20032dF...C...0000C|   8873|  37|C |20112MRS.CTIO.0000H
23592217+0152330|CGCG 382-012                  |23h59m22.2s +01d52m33s|G     |  6838|    |    |2005ApJS..160..149S|   6832|  21|F |20112MRS.FLWO.0000H
